episode,total_reward,loss
1,9.0,0.30273547768592834
2,8.0,0.30481237173080444
3,8.0,0.27088719606399536
4,10.0,0.21241624653339386
5,9.0,0.22099493443965912
6,8.0,0.20867083966732025
7,10.0,0.16312237083911896
8,9.0,0.1703919917345047
9,11.0,0.13811182975769043
10,10.0,0.14844250679016113
11,10.0,0.1365739405155182
12,9.0,0.1315677911043167
13,10.0,0.12668608129024506
14,9.0,0.11765077710151672
15,9.0,0.11981888860464096
16,9.0,0.1249685063958168
17,10.0,0.10161377489566803
18,9.0,0.09847094118595123
19,9.0,0.10708862543106079
20,8.0,0.10112693905830383
21,10.0,0.09978564083576202
22,11.0,0.08892792463302612
23,10.0,0.07494363188743591
24,9.0,0.08539737015962601
25,10.0,0.08002781867980957
26,9.0,0.09262241423130035
27,9.0,0.0788993388414383
28,9.0,0.080547995865345
29,9.0,0.07561706006526947
30,9.0,0.07918166369199753
31,10.0,0.06455906480550766
32,10.0,0.07443013042211533
33,10.0,0.0707290768623352
34,9.0,0.07218269258737564
35,10.0,0.06742153316736221
36,9.0,0.06776731461286545
37,10.0,0.0698918029665947
38,8.0,0.06398093700408936
39,9.0,0.05877531319856644
40,10.0,0.052132297307252884
41,9.0,0.054242510348558426
42,9.0,0.04742084816098213
43,10.0,0.056668996810913086
44,9.0,0.05635594576597214
45,9.0,0.05528366565704346
46,9.0,0.047811079770326614
47,9.0,0.041754428297281265
48,9.0,0.05335299298167229
49,9.0,0.04833349585533142
50,10.0,0.038259655237197876
51,10.0,0.04065525531768799
52,8.0,0.03511226549744606
53,9.0,0.033673688769340515
54,9.0,0.030349012464284897
55,8.0,0.04380657896399498
56,9.0,0.032558221369981766
57,9.0,0.030440619215369225
58,10.0,0.03126096352934837
59,10.0,0.026622215285897255
60,10.0,0.026412907987833023
61,10.0,0.03012038581073284
62,9.0,0.024617131799459457
63,10.0,0.021585660055279732
64,10.0,0.02191920019686222
65,10.0,0.02783607877790928
66,8.0,0.016406457871198654
67,9.0,0.017834976315498352
68,10.0,0.01877259463071823
69,10.0,0.018017424270510674
70,10.0,0.019717106595635414
71,10.0,0.017814045771956444
72,9.0,0.01583438366651535
73,8.0,0.011319776065647602
74,10.0,0.013172953389585018
75,9.0,0.01764575205743313
76,10.0,0.01644105277955532
77,10.0,0.012067397125065327
78,9.0,0.009222973138093948
79,10.0,0.013915603049099445
80,8.0,0.010151230730116367
81,8.0,0.011351805180311203
82,9.0,0.011062932200729847
83,10.0,0.01117219403386116
84,10.0,0.010957806371152401
85,9.0,0.00893162377178669
86,9.0,0.009696980006992817
87,10.0,0.010887614451348782
88,8.0,0.008123118430376053
89,9.0,0.00801892951130867
90,9.0,0.006715063937008381
91,9.0,0.008608330972492695
92,10.0,0.0076476107351481915
93,9.0,0.006022360175848007
94,10.0,0.0062879235483706
95,9.0,0.007126379292458296
96,9.0,0.005457830149680376
97,10.0,0.0060807871632277966
98,9.0,0.006456422619521618
99,8.0,0.0035116481594741344
100,9.0,0.005278933793306351
